Repo,Author,Commits
ThunderWeasel,John Nash,276
ThunderWeasel,Edsger Dijkstra,251
ThunderWeasel,Leonhard Euler,203
ThunderWeasel,René Descartes,156
ThunderWeasel,Marvin Minsky,139
ThunderWeasel,Ada Lovelace,258
ThunderWeasel,Dennis Ritchie,126
ThunderWeasel,Alan Turing,70
ThunderWeasel,John von Neumann,77
tsne-mp,Alan Turing,11
tsne-mp,Marvin Minsky,3
T-Rex,Marvin Minsky,6
Rawhide,John Nash,53
Rawhide,Marvin Minsky,19
Rawhide,Dennis Ritchie,4
Unicorn,Alan Turing,1
Unicorn,John Nash,17
Unicorn,René Descartes,1
Ghost,Ada Lovelace,35
Ghost,Alan Turing,2
Ghost,Marvin Minsky,5
Ghost,Dennis Ritchie,4
Ghost,John von Neumann,2
Wolverine,Alan Turing,3
Magneto,Marvin Minsky,1
Reaper,Alan Turing,47
Stormbringer,Alan Turing,27
Stormbringer,Ada Lovelace,2
Stormbringer,Marvin Minsky,1
NightWatch,Dennis Ritchie,52
NightWatch,Marvin Minsky,45
NightWatch,John Nash,13
NightWatch,Ada Lovelace,16
NightWatch,John von Neumann,4
