Repo,CommitHash,TimeStamp,Language,Files,Lines,Code,Comments,Blanks
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Autoconf,1,5,5,0,0
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,BASH,11,198,109,39,50
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Dockerfile,8,253,171,42,40
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,HTML,16,7743,6129,85,1529
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,JavaScript,2,701,588,45,68
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,JSON,3,10,10,0,0
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Makefile,1,20,10,6,4
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Markdown,45,3351,3351,0,0
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Notebook,41,65531,65531,0,0
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Python,236,35233,27522,1777,5934
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,ReStructuredText,3,51,51,0,0
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Shell,7,93,57,19,17
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,SQL,3,359,226,67,66
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,SVG,4,1704,1692,3,9
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Plain Text,35,103827,103827,0,0
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,YAML,22,1669,1385,253,31
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,Total,438,220748,210664,2336,7748
ThunderWeasel,68850d164ee373f872f3a8e6a53088d3a56d87c8,1537290851,Autoconf,1,5,5,0,0
ThunderWeasel,68850d164ee373f872f3a8e6a53088d3a56d87c8,1537290851,BASH,11,198,109,39,50
ThunderWeasel,68850d164ee373f872f3a8e6a53088d3a56d87c8,1537290851,Dockerfile,8,253,171,42,40
