Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
ThunderWeasel,376344463b4135400f5f2dec0194003f603b55fb,1537290505,Edsger Dijkstra,Python,0,7,6,0,1,documentation enhancements
ThunderWeasel,376344463b4135400f5f2dec0194003f603b55fb,1537290505,Edsger Dijkstra,Total,0,7,6,0,1,documentation enhancements
ThunderWeasel,54c80ce35bcec03906c48eb9252fa9a470947505,1537287422,John Nash,Plain Text,0,-48,-48,0,0,updating tests after merging master
ThunderWeasel,54c80ce35bcec03906c48eb9252fa9a470947505,1537287422,John Nash,Total,0,-48,-48,0,0,updating tests after merging master
ThunderWeasel,76d699e57a3f952be5ad86e0a3482e63409d6b64,1537219374,Leonhard Euler,Python,0,7,5,2,0,calling perch ingest-unfinished-urls when not dryrun; maximizing fp_max_count when random to ensure all available randomly collected urls are pulled
ThunderWeasel,76d699e57a3f952be5ad86e0a3482e63409d6b64,1537219374,Leonhard Euler,Total,0,7,5,2,0,calling perch ingest-unfinished-urls when not dryrun; maximizing fp_max_count when random to ensure all available randomly collected urls are pulled
ThunderWeasel,884b6819cc974abac7989b41bf090190173e2a52,1537217416,John Nash,Python,0,12,10,0,2,updating test
ThunderWeasel,884b6819cc974abac7989b41bf090190173e2a52,1537217416,John Nash,Plain Text,0,-73,-73,0,0,updating test
ThunderWeasel,884b6819cc974abac7989b41bf090190173e2a52,1537217416,John Nash,Total,0,-61,-63,0,2,updating test
ThunderWeasel,6eec54f19f373dce01b7a0f3b7e48c671add84ba,1537215609,John Nash,Python,0,-6,-5,-1,0,updating url_features
ThunderWeasel,6eec54f19f373dce01b7a0f3b7e48c671add84ba,1537215609,John Nash,Total,0,-6,-5,-1,0,updating url_features
ThunderWeasel,091fb872a03fdc5253d5892b5b1ea80a017dc0d1,1537214360,Edsger Dijkstra,Plain Text,0,-35,-35,0,0,fix regexes
ThunderWeasel,091fb872a03fdc5253d5892b5b1ea80a017dc0d1,1537214360,Edsger Dijkstra,Total,0,-35,-35,0,0,fix regexes
ThunderWeasel,a45293ae23c220e98490e5eabfe0c883e3eabf50,1537211342,Edsger Dijkstra,Python,0,-70,-59,1,-12,minor torc-vs-puppeteer fixes
ThunderWeasel,a45293ae23c220e98490e5eabfe0c883e3eabf50,1537211342,Edsger Dijkstra,Plain Text,0,-72,-72,0,0,minor torc-vs-puppeteer fixes
