Repo,Language,Files,Lines,Code,Comments,Blanks
ThunderWeasel,Autoconf,1,5,5,0,0
ThunderWeasel,BASH,11,198,109,39,50
ThunderWeasel,Dockerfile,8,253,171,42,40
ThunderWeasel,HTML,16,7743,6129,85,1529
ThunderWeasel,JavaScript,2,701,588,45,68
ThunderWeasel,JSON,3,10,10,0,0
ThunderWeasel,Makefile,1,20,10,6,4
ThunderWeasel,Markdown,45,3351,3351,0,0
ThunderWeasel,Notebook,41,65531,65531,0,0
ThunderWeasel,Python,236,35233,27522,1777,5934
ThunderWeasel,ReStructuredText,3,51,51,0,0
ThunderWeasel,Shell,7,93,57,19,17
ThunderWeasel,SQL,3,359,226,67,66
ThunderWeasel,SVG,4,1704,1692,3,9
ThunderWeasel,Plain Text,35,103827,103827,0,0
ThunderWeasel,YAML,22,1669,1385,253,31
ThunderWeasel,Total,438,220748,210664,2336,7748
tsne-mp,Autoconf,1,6,6,0,0
tsne-mp,C Header,3,454,261,124,69
tsne-mp,CMake,1,16,9,0,7
tsne-mp,C++,2,1263,853,206,204
tsne-mp,Dockerfile,4,95,36,29,30
tsne-mp,Makefile,1,14,11,0,3
tsne-mp,Markdown,4,258,258,0,0
tsne-mp,Notebook,2,1160,1160,0,0
tsne-mp,Objective C,1,115,105,0,10
tsne-mp,Python,11,2906,2192,239,475
tsne-mp,Shell,9,104,61,15,28
tsne-mp,Plain Text,2,30,30,0,0
tsne-mp,Total,41,6421,4982,613,826
T-Rex,BASH,1,58,47,1,10
T-Rex,Dockerfile,1,14,7,1,6
T-Rex,Python,13,580,461,2,117
T-Rex,TOML,1,21,17,0,4
T-Rex,Total,17,673,532,4,137
Rawhide,BASH,4,65,33,9,23
Rawhide,CSS,5,316,269,0,47
Rawhide,Dockerfile,1,11,7,0,4
Rawhide,HTML,1,40,17,20,3
Rawhide,JavaScript,11,1812,1501,41,270
Rawhide,JSON,3,11922,11922,0,0
Rawhide,Markdown,4,2550,2550,0,0
Rawhide,Python,5,655,473,15,167
Rawhide,Plain Text,1,8,8,0,0
Rawhide,Total,35,17379,16780,85,514
Unicorn,Autoconf,1,2,2,0,0
Unicorn,BASH,10,114,51,27,36
Unicorn,Dockerfile,1,11,8,0,3
Unicorn,HTML,2,135,118,0,17
Unicorn,Markdown,1,31,31,0,0
Unicorn,Notebook,2,1231,1231,0,0
Unicorn,Python,17,3159,2369,218,572
Unicorn,Shell,1,10,5,2,3
Unicorn,Plain Text,1,13,13,0,0
Unicorn,Total,36,4706,3828,247,631
Ghost,BASH,9,601,457,55,89
Ghost,Dockerfile,4,12,6,4,2
Ghost,HCL,70,5146,3098,1267,781
Ghost,JSON,10,1018,1018,0,0
Ghost,Makefile,10,432,303,27,102
Ghost,Markdown,12,546,546,0,0
Ghost,Notebook,1,429,429,0,0
Ghost,Python,48,2839,2252,96,491
Ghost,Shell,4,261,204,42,15
Ghost,Plain Text,1,10,10,0,0
Ghost,YAML,6,213,187,15,11
Ghost,Total,175,11507,8510,1506,1491
Wolverine,BASH,1,3,1,1,1
Wolverine,Dockerfile,1,70,62,1,7
Wolverine,Markdown,1,2,2,0,0
Wolverine,Shell,1,10,5,2,3
Wolverine,Total,4,85,70,4,11
Magneto,Python,9,341,287,0,54
Magneto,Total,11,341,287,0,54
Reaper,BASH,1,3,1,1,1
Reaper,Dockerfile,1,35,20,6,9
Reaper,Markdown,1,67,67,0,0
Reaper,Python,1,83,61,13,9
Reaper,Shell,4,153,102,32,19
Reaper,Plain Text,1,22,22,0,0
Reaper,Total,9,363,273,52,38
Stormbringer,Autoconf,1,4,4,0,0
Stormbringer,BASH,4,197,152,14,31
Stormbringer,Dockerfile,4,18,6,6,6
Stormbringer,JSON,1,14,14,0,0
Stormbringer,Markdown,4,301,301,0,0
Stormbringer,Python,17,5306,4083,370,853
Stormbringer,Shell,2,13,7,5,1
Stormbringer,Total,33,5853,4567,395,891
NightWatch,BASH,1,23,14,2,7
NightWatch,Dockerfile,1,15,8,0,7
NightWatch,Go,1,19,15,1,3
NightWatch,Markdown,21,2671,2671,0,0
NightWatch,Shell,3,70,49,3,18
NightWatch,SVG,4,1704,1692,3,9
NightWatch,Plain Text,6,198,198,0,0
NightWatch,YAML,149,9570,7832,1342,396
NightWatch,Total,186,14270,12479,1351,440
