Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
tsne-mp,1c443030fa84761d9aae79a8e261d5ab3691dcb9,1534871165,Daniel Rapp,Markdown,0,5,5,0,0,Dwr/better error handling (#8)
tsne-mp,1c443030fa84761d9aae79a8e261d5ab3691dcb9,1534871165,Daniel Rapp,Python,0,16,15,0,1,Dwr/better error handling (#8)
tsne-mp,1c443030fa84761d9aae79a8e261d5ab3691dcb9,1534871165,Daniel Rapp,Total,0,21,20,0,1,Dwr/better error handling (#8)
tsne-mp,22c0e2ce5742d3b2567bf80bd4bf064c57ec3bf3,1534526164,Michael Wright,C++,0,2,0,3,-1,Added the last steps to build the windows wheel (#7)
tsne-mp,22c0e2ce5742d3b2567bf80bd4bf064c57ec3bf3,1534526164,Michael Wright,Dockerfile,1,64,13,29,22,Added the last steps to build the windows wheel (#7)
tsne-mp,22c0e2ce5742d3b2567bf80bd4bf064c57ec3bf3,1534526164,Michael Wright,Markdown,0,46,46,0,0,Added the last steps to build the windows wheel (#7)
tsne-mp,22c0e2ce5742d3b2567bf80bd4bf064c57ec3bf3,1534526164,Michael Wright,Python,0,6,4,2,0,Added the last steps to build the windows wheel (#7)
tsne-mp,22c0e2ce5742d3b2567bf80bd4bf064c57ec3bf3,1534526164,Michael Wright,Plain Text,0,-1,-1,0,0,Added the last steps to build the windows wheel (#7)
tsne-mp,22c0e2ce5742d3b2567bf80bd4bf064c57ec3bf3,1534526164,Michael Wright,Total,1,117,62,34,21,Added the last steps to build the windows wheel (#7)
tsne-mp,ba07bc19374f3f18abed9f73daec554057866931,1534449834,Michael Wright,Plain Text,0,1,1,0,0,Added the wheel to the requirements
tsne-mp,ba07bc19374f3f18abed9f73daec554057866931,1534449834,Michael Wright,Total,0,1,1,0,0,Added the wheel to the requirements
tsne-mp,2d0ff804c2740c9467e9fb007fe56a92657c125b,1534384829,Daniel Rapp,Markdown,0,-11,-11,0,0,Fix typo
tsne-mp,2d0ff804c2740c9467e9fb007fe56a92657c125b,1534384829,Daniel Rapp,Total,0,-11,-11,0,0,Fix typo
tsne-mp,1e689d23419afebeac04ff868d0de63343b6eeab,1534383856,Daniel Rapp,Markdown,0,6,6,0,0,Update BUILD.md
tsne-mp,1e689d23419afebeac04ff868d0de63343b6eeab,1534383856,Daniel Rapp,Python,0,-8,-7,0,-1,Update BUILD.md
tsne-mp,1e689d23419afebeac04ff868d0de63343b6eeab,1534383856,Daniel Rapp,Total,0,-2,-1,0,-1,Update BUILD.md
tsne-mp,188b77c41c714a62747df433efb0f882825c4e74,1534383776,Daniel Rapp,Shell,1,16,10,1,5,Update build script create publish script
tsne-mp,188b77c41c714a62747df433efb0f882825c4e74,1534383776,Daniel Rapp,Total,1,16,10,1,5,Update build script create publish script
tsne-mp,5f60e6784203a2b0509d38c24cc5a3d50cac42d2,1534383061,Daniel Rapp,Markdown,0,2,2,0,0,Add pypi badges
tsne-mp,5f60e6784203a2b0509d38c24cc5a3d50cac42d2,1534383061,Daniel Rapp,Total,0,2,2,0,0,Add pypi badges
tsne-mp,bb6fedb5f537d9a6828fbbab469cf98f7ea2b16e,1534382717,Daniel Rapp,Dockerfile,0,-37,-7,-18,-12,Create build for wheels (#6)
tsne-mp,bb6fedb5f537d9a6828fbbab469cf98f7ea2b16e,1534382717,Daniel Rapp,Markdown,1,1,1,0,0,Create build for wheels (#6)
tsne-mp,bb6fedb5f537d9a6828fbbab469cf98f7ea2b16e,1534382717,Daniel Rapp,Python,-1,-78,-50,-15,-13,Create build for wheels (#6)
tsne-mp,bb6fedb5f537d9a6828fbbab469cf98f7ea2b16e,1534382717,Daniel Rapp,Shell,7,84,49,13,22,Create build for wheels (#6)
tsne-mp,bb6fedb5f537d9a6828fbbab469cf98f7ea2b16e,1534382717,Daniel Rapp,Plain Text,0,-3,-3,0,0,Create build for wheels (#6)
